Id,LastName,FirstName,Title,Email,Tel,Url,Research
1145344,Moisant,Claud,Dr,Claud.Moisant@shit.ac.nz,+64 27 1475963,https://www.shit.ac.nz/people/Claud-Moisant/,"Artificial Intelligence, Mobile and Internet Applications, Computing Education"
1202142,Napoles,Trudy,Dr,Trudy.Napoles@shit.ac.nz,+64 27 5937377,https://www.shit.ac.nz/people/Trudy-Napoles/,"Computer Architecture, Data Mining, Bioinformatics, Databases"
1286538,Jahnsen,Clementina,Dr,Clementina.Jahnsen@shit.ac.nz,+64 27 5525963,https://www.shit.ac.nz/people/Clementina-Jahnsen/,"Social Computing, Parallel Computing, Bioinformatics, Graphics and Visualization, Software Architectures"
1385678,Zawasky,Adriene,Professor,Adriene.Zawasky@shit.ac.nz,+64 27 2193944,https://www.shit.ac.nz/people/Adriene-Zawasky/,"Distributed Systems, Computer Architecture, Software Engineering, Digital Security, Human Computer Interaction"
1825197,Serenil,Livia,Dr,Livia.Serenil@shit.ac.nz,+64 27 8956591,https://www.shit.ac.nz/people/Livia-Serenil/,"Parallel Computing, Cloud Computing, Social Computing, Data Science, Graphics and Visualization"
2192338,Parrent,Shaun,Dr,Shaunna.Parrent@shit.ac.nz,+64 27 9411130,https://www.shit.ac.nz/people/Shaunna-Parrent/,"Computer Architecture, Software Architectures, Machine Learning"
2299097,Bardill,Carl,Associate Professor,Carl.Bardill@shit.ac.nz,+64 27 1744183,https://www.shit.ac.nz/people/Carl-Bardill/,"Programming Languages, Graphics and Visualization, Unconventional Computing, Social Computing, Mobile and Internet Applications"
2473283,Baratta,Vina,Associate Professor,Vina.Baratta@shit.ac.nz,+64 27 1660497,https://www.shit.ac.nz/people/Vina-Baratta/,"Computer Networks, High Performance Computing, Computing Education, Parallel Computing, Digital Security"
2500790,Wahlman,Cyrus,Associate Professor,Cyrus.Wahlman@shit.ac.nz,+64 27 9117752,https://www.shit.ac.nz/people/Cyrus-Wahlman/,"Software Engineering, Social Computing, Geographical Information Systems"
2602210,Crosbie,Cordell,Associate Professor,Cordell.Crosbie@shit.ac.nz,+64 27 4911661,https://www.shit.ac.nz/people/Cordell-Crosbie/,"High Performance Computing, Compiler Optimization, Computing Education"
2710592,Niskala,Neomi,Associate Professor,Neomi.Niskala@shit.ac.nz,+64 27 8307121,https://www.shit.ac.nz/people/Neomi-Niskala/,"Databases, Compiler Optimization, Mobile and Internet Applications, Data Mining"
2764668,Everett,Kenneth,Dr,Kenneth.Everett@shit.ac.nz,+64 27 3581615,https://www.shit.ac.nz/people/Kenneth-Everett/,"Immersive Computing, Distributed Systems, Computing Education, Compiler Optimization, Artificial Intelligence"
2932221,Sawyers,Suellen,Associate Professor,Suellen.Sawyers@shit.ac.nz,+64 27 9734078,https://www.shit.ac.nz/people/Suellen-Sawyers/,"Databases, Parallel Computing, Unconventional Computing"
3139231,Vinyard,Berta,Associate Professor,Berta.Vinyard@shit.ac.nz,+64 27 1311002,https://www.shit.ac.nz/people/Berta-Vinyard/,"Computer Architecture, Optimization Algorithms, High Performance Computing, Computational Biology"
3165923,Kominek,Phyllis,Dr,Phyllis.Kominek@shit.ac.nz,+64 27 6084594,https://www.shit.ac.nz/people/Phyllis-Kominek/,"Performance Modelling, Optimization Algorithms, High Performance Computing, Machine Learning, Robotics"
3229649,Garness,Nola,Professor,Nola.Garness@shit.ac.nz,+64 27 2887070,https://www.shit.ac.nz/people/Nola-Garness/,"Graphics and Visualization, Computer Networks, Data Mining, Theoretical Foundations, Distributed Systems"
3254623,Wickers,Jeffry,Associate Professor,Jeffry.Wickers@shit.ac.nz,+64 27 9354897,https://www.shit.ac.nz/people/Jeffry-Wickers/,"Bioinformatics, Unconventional Computing, Databases, Computer Networks"
3298103,Fazzone,Jessenia,Professor,Jessenia.Fazzone@shit.ac.nz,+64 27 9880008,https://www.shit.ac.nz/people/Jessenia-Fazzone/,"Distributed Systems, Mobile and Internet Applications, Robotics, Graphics and Visualization"
3379587,Heschke,Elban,Dr,Elban.Heschke@shit.ac.nz,+64 27 2579169,https://www.shit.ac.nz/people/Elban-Heschke/,"Graphics and Visualization, Artificial Intelligence, Optimization Algorithms, Digital Security"
3446727,Perilli,Kenny,Associate Professor,Kenny.Perilli@shit.ac.nz,+64 27 8035887,https://www.shit.ac.nz/people/Kenny-Perilli/,"Social Computing, Optimization Algorithms, Graphics and Visualization, Parallel Computing"
3464155,Brannum,Hilaria,Associate Professor,Hilaria.Brannum@shit.ac.nz,+64 27 3565642,https://www.shit.ac.nz/people/Hilaria-Brannum/,"Optimization Algorithms, Cloud Computing, Bioinformatics"
4348299,Malleck,Gayla,Professor,Gayla.Malleck@shit.ac.nz,+64 27 6237600,https://www.shit.ac.nz/people/Gayla-Malleck/,"Computer Architecture, Computing Education, Bioinformatics, Human Computer Interaction"
4492404,Varrone,Lakia,Associate Professor,Lakia.Varrone@shit.ac.nz,+64 27 1281829,https://www.shit.ac.nz/people/Lakia-Varrone/,"Graphics and Visualization, Distributed Systems, Human Computer Interaction"
5391330,Loeffel,Carol,Professor,Carol.Loeffel@shit.ac.nz,+64 27 5448043,https://www.shit.ac.nz/people/Carol-Loeffel/,"Artificial Intelligence, High Performance Computing, Software Architectures, Parallel Computing"
5405973,Reifman,Neill,Professor,Neill.Reifman@shit.ac.nz,+64 27 1941434,https://www.shit.ac.nz/people/Neill-Reifman/,"Theoretical Foundations, Computer Architecture, Data Science, Bioinformatics"
5825663,Mcclamy,Mickie,Dr,Mickie.Mcclamy@shit.ac.nz,+64 27 5371016,https://www.shit.ac.nz/people/Mickie-Mcclamy/,"Human Computer Interaction, Cybersecurity, Digital Security, Immersive Computing"
5921072,Pinelli,Vince,Dr,Vince.Pinelli@shit.ac.nz,+64 27 2204388,https://www.shit.ac.nz/people/Vince-Pinelli/,"Computing Education, Optimization Algorithms, Distributed Systems, Computer Architecture, Data Mining"
8862661,Sookram,Keely,Associate Professor,Keely.Sookram@shit.ac.nz,+64 27 6412723,https://www.shit.ac.nz/people/Keely-Sookram/,"Databases, Artificial Intelligence, Immersive Computing, Geographical Information Systems, Mobile and Internet Applications"
